Order_ID,Customer_Name,Region,Product,Status,Quantity,Unit_Price,Customer_Rating,Sales_Rep,Order_Date
ORD-1015,Sara Lee,South,Monitor,PENDING,-3,1059.07,1.0,David Brown,18/10/2024
ORD-1035,,North,Tablet,Cancelled,1,$1140.08,-1.0,Carol White,12-18-2024
ORD-1031,Amy Davis,Cntrl,Printer,Completed,7,696.57,2.0,Eva Green,21 Mar 2024
ORD-1079,Chris Evans,Central,Laptop,Pending,3,1268.73,3.0,Alice Johnson,09/09/2024
ORD-1017,Ethan Hunt,Central,Printer,Pending,19,858.24,2.0,Alice Johnson,2024/01/31
ORD-1016,Sara Lee,South,Headphones,Cancelled,0,723.6,5.0,David Brown,2024/11/13
ORD-1092,Fiona Shaw,Central,Mouse,Cancelled,8,$709.31,2.0,Carol White,21/10/2024
,Jane Smith,North,Monitor,Cancelled,12,752.67,4.0,Alice Johnson,17/01/2024
ORD-1011,Chris Evans,West,Mouse,Completed,18,1333.92,1.0,David Brown,01/06/2024
ORD-1086,John Doe,Central,mouse,Processing,10,171.72,3.0,Alice Johnson,05 Nov 2024
ORD-1080,Tom Clark,South,Printer,Cancelled,10,1383.34,4.0,  Carol White  ,12/08/2024
ORD-1072,Jane Smith,North,Monitor,Processing,15,757.93,4.0,Eva Green,18/12/2024
ORD-1007,Jane Smith,  Central  ,Laptop,Cancelled,9,263.98,1.0,Bob Smith,"September 24, 2024"
ORD-1008,Ethan Hunt,Central,Mouse,Processing,12,1047.05,3.0,Alice Johnson,13/07/2024
ORD-1038,Chris Evans,East,Monitor,Pending,7,$1177.63,4.0,Bob Smith,29/05/2024
ORD-1044,John Doe,North,Keyboard,Processing,11,536.98,10.0,Bob Smith,25/12/2024
ORD-1067,Mike Wilson,,Printer,Cancelled,7,1261.81,5.0,  Carol White  ,18/10/2024
ORD-1061,Sara Lee,,Laptop,Processing,10,$884.75,4.0,,13/03/2024
ORD_1037,Jane Smith,East,mouse,Cancelled,18,452.1,5.0,Carol White,"August 28, 2024"
ORD-1052,  Fiona Shaw  ,Central,Laptop,PROCESSING,10,529.78,4.0,Carol White,04/12/2024
ORD-1047,,South,N/A,COMPLETED,17,268.7,1.0,David Brown,2024/12/17
ORD-1005,Sara Lee,South,Monitor,PROCESSING,9,606.77,1.0,Alice Johnson,12/11/2024
ORD-1046,Ethan Hunt,Central,Printer,Completed,10,166.84,5.0,Bob Smith,06/02/2024
ORD-1055,Sara Lee,East,Keyboard,Completed,7,1257.69,5.0,Carol White,28/02/2024
ORD-1026,Fiona Shaw,North,Mouse,Completed,20,691.73,3.0,David Brown,21/03/2024
N/A,Amy Davis,West,Tablet,Cancelled,16,539.38,3.0,Alice Johnson,27/10/2024
ORD-1047,Jane Smith,South,Monitor,Completed,17,268.7,1.0,  David Brown  ,17/12/2024
ORD-1004,Sara Lee,East,Laptop,Cancelled,11,1091.6,4.0,Eva Green,"November 01, 2024"
ORD-1087,Amy Davis,South,Monitor,Completed,8,671.49,1.0,Eva Green,08/05/2024
ORD-1059,Tom Clark,North,Monitor,N/A,20,-103.4,4.0,Carol White,17/03/2024
ORD-1009,Jane Smith,East,Laptop,Cancelled,9999,1344.36,2.0,Bob Smith,18/08/2024
ORD-1029,Mike Wilson,Central,Tablet,Pending,13,668.77,5.0,Carol White,09-10-2024
ORD-1019,John Doe,North,Keyboard,Completed,2,225.97,2.0,Carol White,20/02/2024
ORD-1068,Amy Davis,North,Headphones,Pending,14,830.42,3.0,Bob Smith,27/05/2024
ORD-1084,John Doe,west,Keyboard,Pending,3,,5.0,David Brown,09/08/2024
ORD-1057,John Doe,Central,Printer,Pending,13,,1.0,Carol White,25 Apr 2024
ORD-1077,Mike Wilson,South,Webcam,Processing,16,1207.31,2.0,Carol White,13/09/2024
ORD-1090,Jane Smith,EAST,Monitor,Pending,1,427.23,2.0,Bob Smith,04-27-2024
ord1001,  Jane Smith  ,West,Monitor,Pending,1,710.35,4.0,Carol White,12/10/2024
ORD-1064,Tom Clark,North,laptop,Cancelled,1,482.99,2.0,  Alice Johnson  ,25/03/2024
ORD-1043,NULL,West,tablet,Completed,20,390.02,2.0,Eva Green,24/05/2024
ORD-1010,Fiona Shaw,Central,Monitor,Completed,13,1297.64,1.0,David Brown,14/08/2024
ORD-1081,Ethan Hunt,East,Keyboard,Processing,17,1472.05,2.0,David Brown,02-11-2024
ORD-1025,Diana Prince,  Central  ,Mouse,none,14,1145.11,3.0,Carol White,11/02/2024
ORD-1089,Tom Clark,West,mouse,Pending,5,313.51,3.0,Bob Smith,16/02/2024
ORD1076,Sara Lee,South,Laptop,Pending,17,1019.87,3.0,David Brown,19/05/2024
ORD-1014,Jane Smith,East,mouse,Completed,4,1215.96,2.0,David Brown,05/06/2024
ord-1062,Jane Smith,West,Keyboard,Pending,13,$741.62,3.0,Bob Smith,06/02/2024
ORD-1034,Sara Lee,North,Laptop,Cancelled,14,702.6,5.0,David Brown,18/08/2024
ORD-1094,Sara Lee,North,Webcam,Pending,20,1325.48,3.0,Bob Smith,11-01-2024
ORD-1050,Ethan Hunt,EAST,Mouse,Cancelled,11,360.23,3.0,Eva Green,16/11/2024
ORD-1032,Tom Clark,East,Laptop,Completed,9,-80.87,3.0,Carol White,02/01/2024
ORD-1030,Chris Evans,west,Tablet,Cancelled,19,1364.94,1.0,David Brown,08/02/2024
ORD-1088,Chris Evans,East,Tablet,Processing,7,1306.93,4.0,Alice Johnson,14/01/2024
ORD-1095,Diana Prince,South,Headphones,Pending,3,453.47,3.0,Alice Johnson,10/12/2024
ORD-1012,John Doe,Central,Laptop,PROCESSING,11,1178.71,1.0,,"October 28, 2024"
ORD-1045,N/A,East,Headphones,Cancelled,4,1344.89,3.0,,20/08/2024
ORD-1091,Sara Lee,west,Laptop,Processing,2,$524.66,4.0,Eva Green,11/12/2024
ord-1075,Ethan Hunt,Central,Laptop,Pending,7,613.84,,David Brown,25/07/2024
ORD-1054,Fiona Shaw,South,Monitor,Completed,5,$140.29,6.0,Bob Smith,05/08/2024
ORD-1071,none,North,Keyboard,CANCELLED,11,-303.7,4.0,Alice Johnson,27 Aug 2024
ORD-1082,Sara Lee,Central,Laptop,Pending,20,824.48,,Alice Johnson,02/11/2024
ORD-1006,,south,Monitor,Pending,3,629.5,5.0,Eva Green,25/04/2024
ORD-1078,Diana Prince,West,Laptop,Completed,6,1100.06,1.0,Bob Smith,10-03-2024
ORD-1051,Tom Clark,Central,Laptop,Pending,13,651.56,5.0,Eva Green,28/10/2024
ORD-1027,Tom Clark,West,Tablet,Cancelled,17,1231.76,2.0,Eva Green,02-05-2024
ORD-1023,Chris Evans,,Tablet,Pending,12,860.44,2.0,Carol White,15/05/2024
N/A,Ethan Hunt,North,Printer,Pending,4,243.34,4.0,Bob Smith,16/04/2024
ORD-1042,Fiona Shaw,South,keyboard,NULL,11,1084.64,5.0,Alice Johnson,27/12/2024
ORD-1022,Ethan Hunt,South,Printer,Cancelled,14,820.14,5.0,Bob Smith,18/04/2024
ORD-1033,Mike Wilson,Central,Mouse,PENDING,2,1299.17,1.0,Carol White,28/07/2024
ORD-1018,Fiona Shaw,West,Monitor,Cancelled,9,99999.00,2.0,Alice Johnson,08/11/2024
ORD-1041,Amy Davis,west,Printer,Cancelled,3,99999.99,1.0,Carol White,27/05/2024
ORD_1063,Chris Evans,North,Tablet,Completed,18,1416.98,,Carol White,31 Jan 2024
ORD-1028,John Doe,West,Webcam,Completed,4,1343.43,5.0,Eva Green,29/03/2024
ORD-1048,Chris Evans,Central,Mouse,Cancelled,10,605.4,5.0,Carol White,29/04/2024
ORD-1040,Amy Davis,East,Monitor,Processing,14,396.91,2.0,Bob Smith,"April 28, 2024"
ord1085,  Sara Lee  ,south,mouse,Completed,8,1011.35,4.0,David Brown,14/06/2024
ORD-1021,Sara Lee,North,monitor,Cancelled,20,723.73,1.0,David Brown,2024/11/16
ORD-1073,Fiona Shaw,West,Headphones,Pending,15,445.76,4.0,Carol White,04/06/2024
ORD-1032,Tom Clark,,Laptop,Completed,9,280.78,3.0,  Carol White  ,02/01/2024
ORD-1013,John Doe,West,Webcam,Completed,1,367.32,2.0,Bob Smith,07/08/2024
ORD-1065,Diana Prince,East,Tablet,Cancelled,10,615.48,99.0,Alice Johnson,06/06/2024
ORD-1003,Tom Clark,South,Webcam,Pending,13,884.72,1.0,Carol White,06/11/2024
ORD-1060,Jane Smith,  Central  ,Tablet,Pending,-8,1326.95,1.0,Alice Johnson,16/05/2024
ORD-1049,Jane Smith,N,none,Pending,14,271.57,1.0,Eva Green,15/05/2024
ORD-1066,  Amy Davis  ,East,Headphones,Completed,10,$1342.88,2.0,Eva Green,31/10/2024
ORD-1056,Jane Smith,South,Tablet,Completed,14,614.74,,Bob Smith,05/10/2024
ORD-1059,  Tom Clark  ,North,Monitor,Cancelled,20,78.32,0.0,Carol White,17-03-2024
ORD-1024,Sara Lee,West,Monitor,Processing,11,,4.0,Eva Green,04/12/2024
ORD-1078,Diana Prince,west,Laptop,Completed,6,1100.06,1.0,Bob Smith,03-10-2024
ORD-1053,Amy Davis,south,mouse,Processing,18,725.59,3.0,,2024/04/11
ORD-1070,Sara Lee,  Central  ,NULL,Completed,20,1209.81,5.0,Alice Johnson,04/03/2024
ORD1069,Amy Davis,South,Tablet,Pending,19,1115.22,5.0,David Brown,12/08/2024
ORD-1083,Amy Davis,Central,Mouse,Cancelled,0,1365.05,5.0,Alice Johnson,21/01/2024
ORD-1074,,N,Monitor,Pending,15,754.18,5.0,David Brown,24/12/2024
ORD-1041,Amy Davis,west,Printer,CANCELLED,3,687.82,1.0,Carol White,27/05/2024
,Sara Lee,Central,Printer,Completed,6,1421.79,4.0,Bob Smith,27/11/2024
ORD-1036,Jane Smith,Central,Webcam,Pending,8888,,3.0,Carol White,31/10/2024
ORD-1002,John Doe,West,Mouse,Cancelled,7,1334.9,3.0,Eva Green,08-01-2024
